# -------
# invalid: data/dm-tempo-mensal.csv.gz
# -------

====  =====  ==========  =================================================================================================================
row   field  code        message                                                                                                          
====  =====  ==========  =================================================================================================================
 587      2  type-error  Type error in the cell "190914" in row "587" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 587      5  type-error  Type error in the cell "14/1909" in row "587" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 588      2  type-error  Type error in the cell "190913" in row "588" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 588      5  type-error  Type error in the cell "13/1909" in row "588" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 601      2  type-error  Type error in the cell "191000" in row "601" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 601      5  type-error  Type error in the cell "00/1910" in row "601" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 602      2  type-error  Type error in the cell "191014" in row "602" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 602      5  type-error  Type error in the cell "14/1910" in row "602" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 603      2  type-error  Type error in the cell "191013" in row "603" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 603      5  type-error  Type error in the cell "13/1910" in row "603" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 616      2  type-error  Type error in the cell "191100" in row "616" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 616      5  type-error  Type error in the cell "00/1911" in row "616" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 617      2  type-error  Type error in the cell "191114" in row "617" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 617      5  type-error  Type error in the cell "14/1911" in row "617" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 618      2  type-error  Type error in the cell "191113" in row "618" and field "anomes_iso" at position "2": type is "date/%Y%m"         
